pmcid,pmid,license,abstract
PMC10611658,37900660,© Indian Association of Surgical Oncology 2019.,"Renal cell carcinomas are known to produce widespread and unpredictable metastasis due to their angioinvasive property. Cutaneous metastases from renal cell carcinomas are very rare, with a reported incidence of 1.3-3%. The sites of cutaneous metastasis from renal cell carcinomas, as per the available case reports, to the best of our knowledge, are shoulder, arm, nape of the neck, chest, face and scalp. We report a case of 63-year-old male, with renal clear cell carcinoma with lung metastasis who had cutaneous metastasis to the fingertip which was confirmed by histopathological examination. Apart from its rarity, this clinical case adds another site of renal cell carcinoma metastasis to the present literature. The skin metastasis represents a widely disseminated state of the disease with a very guarded prognosis and limited life span after its diagnosis."
PMC10611663,37900633,© Indian Association of Surgical Oncology 2020.,"Malignant peripheral nerve sheath tumour (MPNST) is a rare variety of sarcoma occurring in the uterine cervix. Only 16 cases have been reported in literature till date. There is no clear consensus on the treatment due to the rarity of the disease. This is primarily managed by surgery. Here, we present a case of MPNST of the cervix who was treated with preoperative radiotherapy followed by radical hysterectomy and bilateral salpingo-oophorectomy."
PMC10182293,37193514,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","In this report, we present a series of two unusual cases of elapid snakebite with acute neuroparalysis, that after initial response to standard anti-snake venom therapy, developed recurrence of disabling quadriparesis with dysautonomia, that on detailed evaluation turned out to be immune-mediated polyradiculoneuropathy (GB syndrome). Both the cases then responded to therapy with intravenous immunoglobulins. These cases bring out the rare immune-mediated late complication of snake venom, which if recognized and treated in time, can significantly reduce the morbidity and mortality."
PMC10037052,36969130,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Empagliflozin has a demonstrated cardiovascular benefit. It is co-prescribed as a glucose-lowering medication in patients with type II diabetes mellitus. Herein, we discuss dual-emergency side-effects, Fournier's gangrene (FG) and diabetic ketoacidosis with lower-than-anticipated glucose levels in a patient on Empagliflozin, a sodium-glucose transport protein 2 inhibitor (SGLT-2i). The pathophysiologic mechanism of FG in correlation with SGLT-2i is not yet elucidated. SGLT-2i increase predisposition to genital mycotic and urinary infections, a mechanism favouring FG. A patient with type II diabetes mellitus on SGLT-2i presented with acute necrotic infection of the scrotum and simultaneous diabetic ketoacidosis with lower-than-anticipated glucose levels. This dual emergency was managed with debridement and medical treatment on lines of diabetes ketoacidosis, respectively. A re-look at this group of glucose-lowering medications from bedside towards benchtop research may help to prod into any other mechanistic basis of these life-threatening clinical occurrences."
PMC10037044,36969111,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Pulmonary sequestration also called as bronchopulmonary sequestration is a rare congenital anomaly. It is defined as a mass of dysplastic lung tissue which has no connection with the main bronchopulmonary tree and is supplied by a branch of systemic artery and drainage by the separate venous system. It can be classified into intralobar and extralobar variety, with intralobar being more common. Its incidence is around 1 per 8300 to 35000, and it constitutes about 0.15-6.4% of all congenital lung anomalies. It generally involves lower lobes with the left lobe being more common than the right. It is an uncommon entity and rarely reported in literature for lingula. Its distribution is equal in gender distribution except for extralobar variety which has a male preponderance. It generally presents with recurrent pneumonia and hemoptysis. Here, we describe a very rare case of intralobar lingular sequestration in a patient who presented with recurrent chest infections and was managed with segmentectomy."
PMC9989073,36896091,© The Association of Oral and Maxillofacial Surgeons of India 2019.,"Myofacial pain, a chronic painful condition of muscle origin, has numerous precipitating factors, if undiagnosed or left untreated could lead to compromised function and poor quality of life. In this case report, a female patient giving a history of 10 years of pain in the head and neck region was eventually diagnosed with myofacial pain secondary to bowing posture. The patient was successfully treated with combination of treatment modalities (TENS therapy, exercises, occlusal splint, etc.), which resulted in relief from chronic pain and improvement in quality of life."
PMC9871085,36703655,© The Association of Oral and Maxillofacial Surgeons of India 2020.,"The present study aims to describe a case study of large penetrating orbital trauma and treatment guidelines associated with a review of English-language literature of large foreign bodies impacting the orbit from 1997 to 2020. Five patients suffered large penetrating orbital trauma and required emergency surgical procedures. Together with this present study, a total of 33 cases were selected. The present work has data similar to the literature, and emergency surgical treatment was required in the majority of the cases. Penetrating orbital trauma by large objects is a challenge. The initial assessment and treatment are fundamental to determine the case severity. The large foreign body should be surgically removed by a trained and experienced team in an advanced hospital unit as soon as possible to minimize visual, functional and aesthetic sequelae."
PMC9871081,36703654,© The Association of Oral and Maxillofacial Surgeons of India 2019.,"Medially displaced condylar head fractures pose a challenge for oral and maxillofacial surgeons. Accessing, retrieving, and reducing a displaced fracture is seemingly impossible at times. Consideration of the risks must also be taken, including significant bleeding during exposure, injury to the facial nerve, and ability to fixate an unstable segment. Performing an extraoral vertical ramus osteotomy to safely access the condylar head fracture will provide a safer and more meaningful approach to managing severely medially displaced or dislocated mandibular condyle fractures in cases when the condyle is irretrievable."
PMC9871124,36703650,© The Association of Oral and Maxillofacial Surgeons of India 2020.,"Surgical removal of an impacted tooth is considered to be one of the most frequently performed minor oral surgical procedures due to the plethora of indications associated with it. Like any other surgical intervention, the surgical removal of impacted third molars is also associated with numerous complications. Lot of emphasis has been laid to prevent the complications associated with the surgical removal of impacted third molars. However, at times in spite of delivering the utmost caution, complications occur as a consequence of surgical removal of impacted third molars. We report a rare case in which iatrogenic mandibular ramus fracture occurred in an attempt to surgically removal of an impacted third molar."
PMC9807682,36605342,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Goldenhar syndrome is a rare congenital disorder. Limbal dermoid associated with this syndrome can cause high astigmatism and amblyopia in children. We report significant reduction in astigmatism, after limbal dermoid excision with lamellar keratoplasty, in a rare case of Goldenhar syndrome. A three-year-old female patient, with left-sided limbal dermoid with high astigmatism and amblyopia, was referred to us for visual rehabilitation. The patient had left-sided limbal dermoid and preauricular appendages. Oral examination revealed bifid labial frenum, a deep antegonial notch on the left side of the mandible and missing left upper central incisor teeth. She was diagnosed as a case of Goldenhar syndrome. Her best-corrected visual acuity was 20 of 20 in the right eye and 20 of 200 in the left eye. Refraction showed astigmatism of 10 diopters in her left eye. She underwent limbal dermoid excision with lamellar keratoplasty in her left eye, after which her astigmatism reduced considerably. Early surgical intervention is recommended in cases of limbal dermoid with high astigmatism as it provides not only good cosmetic but also good visual benefits by early institution of treatment for amblyopia."
